No,类型,信号,位置提示,游戏坐标,挑战起点,起点差,解法原文,截图
1,跳水环,text,初始台地,"-890.4, 1889.6",,,Jump from the promontory into the circle of lilies.,Korok001.jpg
2,搬石头,text,希克里森林,"1936.0, 2567.6",,,Lift the rock on this small island.,Korok002.jpg
3,磁铁·方块拼图,text,波努鲁山地,"2059.6, 1212.4",,,Complete the block puzzle.,Korok003.jpg
4,追花,text,诺凯河,"1047.6, 1787.0","981.4, 1837.2",是,"Start at the south side of the river, and follow the flowers.",Korok004.jpg
5,射气球,text,诺凯河,"867.6, 1903.6",,,Stand near the pinwheel and shoot the balloons.,Korok005.jpg
6,推石入坑,text,包美尔高地,"644.0, 1762.4",,,Push the boulder into the nearby large hole.,Korok006.jpg
7,追花,text,包美尔高地,"514.4, 1791.0","1006.4, 1828.5",是,Follow the flower trail which starts at the bottom of the hollow log pieces.,Korok007.jpg
8,射气球,text,包美尔高地,"315.6, 1765.0",,,Stand near the pinwheel and shoot the balloons.,Korok008.jpg
9,垒石·石圈,text,精灵森林,"-954.4, 1721.6",,,Pick up the rock at the top of the rock structure.,Korok009.jpg
10,精灵光点,text,黄泉河,"-1382.0, 1861.6",,,Interact with the fairy lights under the bridge. Use Magnesis to make a safe platform.,Korok010.jpg
11,搬石头,text,双子山,"1258.0, 1851.0",,,Pick up the solitary rock at the peak of the shorter Dueling Peak.,Korok011.jpg
12,精灵光点,text,格鲁德峡谷 入口,"-1503.6, 1923.6",,,"Melt the block of ice, then examine the fairy lights.",Korok012.jpg
13,垒石·石圈,text,海利亚山,"-1362.4, 2219.6",,,Use the nearby rock to complete the circle.,Korok013.jpg
14,磁铁·方块拼图,text,海利亚山,"-1441.6, 2105.0","-1721.9, 2246.2",是,Use Magnesis to place the metal block to match the nearby set.,Korok014.jpg
15,精灵光点,text,黄泉河,"-1134.0, 1921.0",,,Interact with the fairy lights. You must have left the Great Plateau to obtain this seed. This is above the pool you awaken from within the Shrine of Resurrection.,Korok015.jpg
16,搬石头,text,海利亚山,"-1173.6, 2319.6",,,Pick up this rock.,Korok016.jpg
17,搬石头,text,海利亚山,"-1197.0, 2326.4",,,"Go to the edge of the cliff (behind the wall) to find the large slab. Move it using Stasis, then pick up the smaller rock under it.",Korok017.jpg
18,精灵光点,text,Temple of Time (Breath of the Wild),"-809.0, 1966.4",,,Examine the fairy lights at the top of the Temple of Time.,Korok018.jpg
19,精灵光点,text,Temple of Time (Breath of the Wild),"-789.0, 2261.0",,,Examine the fairy lights on the top of the Woodcutter's Cabin.,Korok019.jpg
20,磁铁·方块拼图,text,东部神殿遗迹,"-428.0, 2022.4",,,"Use Magnesis to lift the metal door, then lift the rock hidden underneath. This seed is found at the very base of the Great Plateau, so it won't be available until the Paraglider is obtained.",Korok020.jpg
21,磁铁·方块拼图,text,东部神殿遗迹,"-422.0, 1994.4",,,"Use Magnesis to lift the metal door, then lift the rock hidden underneath.",Korok021.jpg
22,搬石头,text,精灵森林,"-848.4, 1669.6",,,"Clear the leaves, then pick up the rock.",Korok022.jpg
23,追花,text,精灵森林,"-966.4, 1627.0","-997.5, 1660.8",是,Follow the flower trail through the giant hollow log.,Korok023.jpg
24,磁铁·方块拼图,text,精灵森林,"-769.6, 1578.4",,,Use Magnesis to lift the ball on the chain into the hole of the tree trunk.,Korok024.jpg
25,搬石头,text,精灵森林,"-820.4, 1550.4",,,Lift the rock found underneath two larger rocks.,Korok025.jpg
26,磁铁·方块拼图,text,青蛙池塘,"-1339.0, 1677.6",,,Use Magnesis to put the block in the correct place. Located on a cliff ledge.,Korok026.jpg
27,食物祭品,text,奥克诺湾,"4209.0, 2269.6",,,Place a palm fruit in the empty basket.,Korok027.jpg
28,食物祭品,text,Kakariko Village (Breath of the Wild),"1803.0, 991.0",,,Place an apple in the empty basket.,Korok028.jpg
29,搬石头,text,雷兽山,"3894.4, -705.6",,,Blow up the boulders and pick up the rock underneath.,Korok029.jpg
30,搬石头,text,皮埃尔高地,"2163.0, 1039.0",,,Climb to the top of the hill and lift up the solitary rock. Level 1 cold resistance recommended.,Korok030.jpg
31,垒石·石圈,text,托斯迈吉亚台地,"-4066.4, 442.4",,,"Grab a rock from the plateau to the northeast, and get it up to and complete the rock circle. You can jump up onto the platform from the southwestern edge.",Korok031.jpg
32,磁铁·方块拼图,text,许愿河畔,"2746.0, -180.0",,,Use Magnesis to lift the ball-and-chain and put it into the hollow stump.,Korok032.jpg
33,精灵光点,text,贝利尔雪原,"-4688.4, 842.0",,,Melt the ice and examine the fairy lights.,Korok033.jpg
34,搬石头,text,露朵山,"3304.0, 20.4",,,Climb to the top of the hill and lift the small rock.,Korok034.jpg
35,射气球,text,门前驿站村遗迹,"-653.0, 1388.4",,,Shoot the balloons.,Korok035.jpg
36,搬石头,text,德谷多吊桥,"-1674.4, 1400.0",,,Lift the rock in the tree.,Korok036.jpg
37,射箭·射靶,text,亚阔湖,"-1364.4, 1163.6","-1389.8, 1148.9",是,"Stand on the stump, and shoot the flying acorns.",Korok037.jpg
38,搬石头,text,竞技场遗迹,"-1223.6, 1357.0",,,Pick up the rock.,Korok038.jpg
39,磁铁·方块拼图,text,北格鲁德巨石,"-3354.4, 2275.0",,,Solve the Magnesis block puzzle.,Korok039.jpg
40,精灵光点,text,诺凯河,"672.0, 1636.4",,,"Climb to the top of the flag pole, then examine the fairy lights.",Korok040.jpg
41,搬石头,text,南纳比湖,"852.4, 1627.6",,,Lift the rock.,Korok041.jpg
42,追花,text,萨托利山,"-2248.4, 463.0","-2288.8, 413.6",是,"Start between the three large cliffs to the northwest, and follow the flowers.",Korok042.jpg
43,垒石·石圈,text,格鲁德峡谷 入口,"-1494.0, 1830.0",,,"Throw a rock into the circle of rocks. This seed belongs to the Great Plateau Tower Region, but won't be available until the Paraglider is obtained.",Korok043.jpg
44,精灵光点,text,Zora's Domain (Breath of the Wild),"3327.0, -525.0",,,"In the 'spout' of the fish statue on top of Zora's Domain, examine the fairy lights.",Korok044.jpg
45,食物祭品,text,阿卡莱湖,"3886.4, -1340.4",,,Place an apple in the empty offering bowl.,Korok045.jpg
46,追花,text,一始村,"4096.0, -1631.0","4578.0, -1756.8",是,Start on top of the rock bridge and chase the flower trail by climbing down and around under the bridge.,Korok046.jpg
47,搬石头,text,马丘兹半岛,"4530.4, -2094.4",,,Burn or cut away the dead leaves and then lift up the small rock.,Korok047.jpg
48,食物祭品,text,达夫奈斯山,"-1024.4, 560.0",,,Place apple.,Korok048.jpg
49,搬石头,text,科摩罗驻军地遗迹,"-460.4, 1275.6",,,Burn the leaves and pick up the revealed rock.,Korok049.jpg
50,食物祭品,text,布莱德台地,"2511.6, 1571.6",,,Place an apple in the empty basket.,Korok050.jpg
51,推石入坑,text,莱波纳桥,"627.6, 182.4",,,Push the boulder off the small tower into the indented hole below.,Korok051.jpg
52,搬石头,text,麦贝草原,"386.4, 131.0",,,Lift the rock up.,Korok052.jpg
53,树叶下,text,阿卡莱古代研究所,"4501.6, -3165.6",,,Examine the swirling leaves at the top of the Tech Lab.,Korok053.jpg
54,射气球,text,马兹拉桥,"683.6, -636.4",,,"Stand near the pinwheel and shoot the balloons. The third balloon is behind you, hidden in the log.",Korok054.jpg
55,搬石头,text,更格尔山丘,"838.4, -694.0",,,Pick up the rock in the stump.,Korok055.jpg
56,精灵光点,manual,哈特诺古代研究所,"3785.0, 2123.6",,,Climb atop the guardian found at the top of the Hateno Ancient Tech Lab. The easiest place to climb up is the broken guardian's leg.,Korok056.jpg
57,射气球,text,奥布力平原,"3166.4, 1833.6",,,Stand near the pinwheel and shoot all five balloon targets.,Korok057.jpg
58,射箭·射靶,text,火萤台地,"3152.4, 2404.4","3144.0, 2231.2",是,Pick up the metal cube and place it back into its correct spot.,Korok058.jpg
59,追花,text,艾波尼山,"3425.0, 2390.4","3372.4, 2301.1",是,Follow the long yellow flower trail to the top of the hill. The start of the trail is pictured here and begins a bit north west of the location on the ground around the hill.,Korok059.jpg
60,射气球,text,布冰嘉森林,"2048.0, 2093.6",,,Stand next to the pinwheel and shoot the three balloon targets.,Korok060.jpg
61,射气球,text,哈特诺堡垒,"2327.6, 1829.0",,,Climb on top of the stone wall and stand next to the pinwheel. Two acorns will fly above the treetops. Carefully aim and destroy them with arrows. You can use Stasis on the acorns to help you.,Korok061.jpg
62,跳水环,text,拉纳湖,"2482.4, 2103.0",,,Jump or dive into the ring of flowers in the water below the cliff.,Korok062.jpg
63,垒石·石圈,text,卡卡利科桥,"1752.0, 1544.4",,,"From the bridge above, put a Cryonis pillar just in front of the circle of rocks, then toss a rock onto the pillar so it bounces into the circle.",Korok063.jpg
64,其他,text,Lake Hylia (Breath of the Wild),"-103.0, 2301.0",,,Light the two torches up here.,Korok064.jpg
65,跳水环,text,Lake Hylia (Breath of the Wild),"76.4, 2302.0",,,Jump or dive into the ring of flowers. You can glide from the top of the Hylia bridge or use a cryonis pillar.,Korok065.jpg
66,磁铁·方块拼图,text,海利亚河,"172.0, 1726.4","324.0, 1917.7",是,Move the metal block to match both sets identically.,Korok066.jpg
67,推石入坑,text,海利亚河,"104.4, 1716.0",,,Throw a boulder into the ring of rocks in the river.,Korok067.jpg
68,搬石头,text,花柔利亚山,"1936.0, 2778.4",,,Lift the rock found at the top of Mount Floria.,Korok068.jpg
69,食物祭品,text,双子山,"1244.0, 1942.0",,,Drop an apple into the empty offering bowl.,Korok069.jpg
70,搬石头,text,纳比湖,"1040.0, 1318.4",,,Swim to the small island in the lake and lift the small rock on top.,Korok070.jpg
71,搬石头,text,天望山丘,"2.0, 1895.6",,,Pick up this rock.,Korok071.jpg
72,食物祭品,text,天望山丘,"161.6, 1949.0",,,Investigate behind the two statues.,Korok072.jpg
73,精灵光点,text,Bridge of Hylia (Breath of the Wild),"-39.0, 2514.0",,,Examine the fairy lights at the top of the fountain.,Korok073.jpg
74,精灵光点,text,萨尔达的研究室,"-385.0, -995.6",,,Examine the fairy lights at the top of the spire.,Korok074.jpg
75,精灵光点,text,格鲁德小镇,"-3887.0, 2967.6",,,Climb to the very top of the waterfall pillar and examine the fairy lights.,Korok075.jpg
76,磁铁·方块拼图,text,格鲁德峡谷 入口,"-1662.0, 2344.0","-1721.9, 2246.2",是,Solve the Magnesis block puzzle. The block is above the pavilion.,Korok076.jpg
77,磁铁·方块拼图,text,斯塔尔里台地,"-1809.6, 2463.0","-1721.9, 2246.2",是,Solve the Magnesis block puzzle. The block is on the wooden platform above.,Korok077.jpg
78,精灵光点,text,费罗龙台地,"603.0, 2410.4",,,There are two fairy lights dancing around here. Catch them both for two seeds.,Korok078.jpg
79,冰块,text,智慧之泉,"3742.0, 1154.4",,,Melt the block of ice. Cold Resistance Level 2 recommended.,Korok079.jpg
80,冰块,text,智慧之泉,"3798.0, 1271.0",,,Melt the block of ice. Cold Resistance Level 2 recommended.,Korok080.jpg
81,射气球,text,阿米麦台地,"215.0, 3496.4",,,"Stand next to the pinwheel, shoot the three acorns. You can use stasis to make it easier.",Korok081.jpg
82,精灵光点,text,托托湖,"3566.0, -916.4",,,Catch the fairy lights circling the area.,Korok082.jpg
83,射箭·射靶,text,皮埃尔高地,"2148.0, 796.4",,,On the cliffside there are some metal cubes. Put the missing cube back into the correct spot to make everything match.,Korok083.jpg
84,追花,text,拉聂尔参道西口,"2288.4, 702.0","2308.2, 750.6",是,"The flower trail to this seed starts to the south, on the eastern cliff face. Follow the flowers to the seed.",Korok084.jpg
85,赛跑·树桩,text,巴尔麦平原,"271.6, 3289.6","546.2, 3580.4",是,"This race platform starts far to the southeast, on the peak above the Ka'o Makagh Shrine. Race to the ring for the seed.",Korok085.jpg
86,射气球,text,阿米麦台地,"269.0, 3666.4",,,Stand near the pinwheel and shoot the five balloons circling overhead.,Korok086.jpg
87,射箭·射靶,text,湿地的驻军地遗迹,"1388.4, -112.4",,,"There are two ruins side by side. The one to the north has an extra rock, the one to the south is missing a rock. Carry the extra to the missing spot for the seed.",Korok087.jpg
88,垒石·石圈,text,文特岛,"4537.6, 1017.0",,,Use the rock to complete the circle.,Korok088.jpg
89,追花,text,文特岛,"4497.6, 1016.4","4517.6, 630.7",是,The flower trail for this begins as you reach the island.,Korok089.jpg
90,赛跑·树桩,text,哈特诺小岛,"4083.6, 2973.6","4017.0, 2971.4",是,"Stand on the seed platform at the nearby shrine. Within the timer, reach the tiny island east of there.",Korok090.jpg
91,垒石·石圈,text,奇塔诺湾,"3675.6, 2419.6",,,Throw a small rock into the ring of rocks found in the water. Cryonis can make it easier to reach.,Korok091.jpg
92,搬石头,text,塔尔荷池塘,"3350.4, 2255.6",,,Lift up the small rock found at the edge of the creek.,Korok092.jpg
93,彩色花·按序踩,text,海拉鲁驿站村废墟,"-191.6, 1833.6",,,"In a cave in this hill, count to 5 using the flowers.",Korok093.jpg
94,垒石·石圈,text,草笛山丘,"-106.4, 1049.6",,,Complete the circle of rocks using three nearby rocks.,Korok094.jpg
95,推石入坑,text,海利亚河,"55.6, 1760.0",,,Push the boulder so it rolls into the hole.,Korok095.jpg
96,搬石头,text,莫约里桥 ,"224.4, 1705.6",,,Pick up this rock.,Korok096.jpg
97,精灵光点,text,交易所遗迹,"-750.4, 893.6",,,Catch the fairy lights that run around the ruins.,Korok097.jpg
98,搬石头,text,莫约里桥 ,"231.6, 1600.4",,,"Look under the bridge, and pick up the rock.",Korok098.jpg
99,搬石头,text,利特村,"-3561.0, -1759.0",,,Under a rock.,Korok099.jpg
100,精灵光点,text,东部的驿站村废墟,"87.0, 1587.6",,,"Climb the flag pole, then examine the fairy lights.",Korok100.jpg
101,赛跑·树桩,text,利利特特湖,"-3696.4, -1684.0","-3782.4, -1798.7",是,Climb to the top of the stone pillar northwest of here to find the seed platform. Glide to the ring before the time runs out.,Korok101.jpg
102,搬石头,text,阿乌尔桥,"314.0, 1400.0",,,Remove the big boulder and then lift the smaller rock.,Korok102.jpg
103,射箭·射靶,text,阿乌尔桥,"334.0, 1275.6","320.9, 1205.8",是,"Under the bridge, shoot the hanging acorn.",Korok103.jpg
104,磁铁·方块拼图,text,塔邦挞村遗迹,"-2361.0, -1872.0",,,Put the magnetic rock in the well.,Korok104.jpg
105,射箭·射靶,text,诺凯河,"516.0, 1484.0","320.9, 1205.8",是,Stand on the stump and look at the large tree behind it. You will see two targets being tossed up behind the tree. Aim carefully and you can hit them with arrows.,Korok105.jpg
106,推石入坑,text,诺凯河,"668.4, 1467.6",,,"At the top of the hill to the west, roll the boulder down into the hole.",Korok106.jpg
107,搬石头,text,戴比岛,"4697.6, -546.0",,,Blow up the boulders and pick up the rock under them.,Korok107.jpg
108,其他,text,南纳比湖,"786.0, 1470.0",,,Jump all three fences in a row. This can also be done with the Master Cycle Zero using the Zero Jump.,Korok108.jpg
109,追花,text,思古兰特树海,"694.4, 3072.4","1012.1, 3255.0",是,Follow the flower trail in a little circle around the area.,Korok109.jpg
110,射气球,text,阿乌尔桥,"293.6, 1212.4",,,Stand on the stump and shoot the three balloons.,Korok110.jpg
111,垒石·石圈,text,废弃的北部矿坑,"1631.0, -2933.6",,,Lift the rock on top of the rock formation.,Korok111.jpg
112,跳水环,text,娜波露山,"-1735.0, 1822.0",,,Jump into lilies.,Korok112.jpg
113,搬石头,text,德谷多吊桥,"-1743.6, 1470.0",,,Pick up the rock.,Korok113.jpg
114,射箭·射靶,text,竞技场遗迹,"-1292.4, 1388.4",,,Shoot the acorn in the log.,Korok114.jpg
115,搬石头,text,平原外围的驿站,"-1317.0, 1262.4",,,Pick up the rock.,Korok115.jpg
116,搬石头,text,竞技场遗迹,"-1152.4, 1220.4",,,Pick up the rock on the top floor of the Coliseum.,Korok116.jpg
117,精灵光点,text,竞技场遗迹,"-1057.0, 1335.0",,,Chase the fairy lights and examine them.,Korok117.jpg
118,赛跑·树桩,text,亚阔湖,"-1190.0, 1116.4","-1173.6, 1166.1",是,Race from the tree surrounded by Malice goo and climb up to the rock point.,Korok118.jpg
119,射箭·射靶,text,亚阔桥,"-1136.4, 1031.0",,,Shoot the acorn hanging under the bridge.,Korok119.jpg
120,搬石头,text,伊萨奇海角,"3794.4, 3624.4",,,Hidden underneath the small rock near the palm tree.,Korok120.jpg
121,搬石头,text,亚阔桥,"-1157.6, 963.0",,,Halfway down the cliff there is a tiny ledge with a rock. Pick it up.,Korok121.jpg
122,磁铁·方块拼图,text,亚阔桥,"-1106.0, 902.4","-1442.3, 845.6",是,Solve the cube puzzle.,Korok122.jpg
123,垒石·石圈,text,亚阔桥,"-1010.4, 933.0",,,Complete the rock circle.,Korok123.jpg
124,垒石·石圈,text,德谷多吊桥,"-1575.6, 1590.0",,,Throw a rock into the circle. You may have to slide the rock over a cryonis block.,Korok124.jpg
125,垒石·石圈,text,希麦加米河,"-1504.4, 922.4",,,Throw a rock into the circle of rocks. Use Cryonis to help cover the distance.,Korok125.jpg
126,赛跑·树桩,text,希麦加米河,"-1441.6, 845.6","-1190.0, 1116.8",是,Put the ball into the stump.,Korok126.jpg
127,射箭·射靶,text,古利奥桥,"-1249.6, 718.4",,,Shoot the acorn.,Korok127.jpg
128,搬石头,text,希麦加米河,"-1313.6, 624.0",,,Pick up the rock in the dried up well.,Korok128.jpg
129,跳水环,text,腐朽的千年古树,"-1120.0, 419.0","-1021.9, 560.6",是,Dive into the circle of lilies.,Korok129.jpg
130,磁铁·方块拼图,text,希麦加米河,"-1336.4, 366.4",,,Solve the cube puzzle. The cube is in the water.,Korok130.jpg
131,搬石头,text,贤者之神殿遗迹,"-1336.4, 249.0",,,Pick up the rock on a standalone wall.,Korok131.jpg
132,追花,text,巨人森林,"-1154.4, 245.0","-1194.8, -236.6",是,Follow the flower trail that starts on a stump to the northeast.,Korok132.jpg
133,赛跑·树桩,text,莫尔赛湖,"711.6, 1331.6",,,Put the metal rock in the hole in the stump.,Korok133.jpg
134,搬石头,text,莫尔赛湖,"513.6, 1169.6",,,"Climb the thick tree, and pick up the rock on top.",Korok134.jpg
135,搬石头,text,梅布尔高原,"1294.0, 1332.4",,,"Climb the tree, lift the rock.",Korok135.jpg
136,食物祭品,text,双子山,"1378.0, 1682.0",,,Drop an apple into the empty offering bowl.,Korok136.jpg
137,搬石头,text,诺凯河,"1099.6, 1890.4",,,Pick up the rock.,Korok137.jpg
138,搬石头,text,船坞,"-305.6, -1167.0",,,Lift the stone.,Korok138.jpg
139,搬石头,text,泡泡拉高地,"811.6, 2091.0",,,"Move the large slab, then lift the small rock underneath.",Korok139.jpg
140,垒石·石圈,text,东阿卡莱驿站,"4396.4, -2721.6",,,Complete the circle with a rock found on the same cliffside.,Korok140.jpg
141,搬石头,text,诺凯河,"704.4, 1794.0",,,"Inside of a cave behind a bombable wall, lift the rock.",Korok141.jpg
142,搬石头,text,亚玛比湖,"2560.4, 3602.4",,,Climb to the top of this mountain and lift up the small rock.,Korok142.jpg
143,食物祭品,text,阿迪亚湖,"550.4, 1897.6",,,Remove apples from the tree on the left until it looks like the two on the right.,Korok143.jpg
144,搬石头,text,觉醒山,"2925.0, 1394.4",,,Lift the small rock at the top of the peak. Cold Resistance Level 1 recommended.,Korok144.jpg
145,磁铁·方块拼图,text,德谷多吊桥,"-1794.4, 1625.0",,,Solve the block puzzle.,Korok145.jpg
146,搬石头,text,湖畔驿站,"1449.0, 3531.6",,,Lift the rock on the small island at the center of the poisonous bog.,Korok146.jpg
147,食物祭品,text,湖畔驿站,"1375.6, 3501.0",,,Offer a Hearty Durian.,Korok147.jpg
148,垒石·石圈,text,希麦加米河,"-1151.6, -283.6",,,Throw a rock into the center of the protruding rocks.,Korok148.jpg
149,射气球,text,希麦加米河,"-1255.0, -239.6",,,Shoot the balloon that's underneath the bridge.,Korok149.jpg
150,搬石头,text,古斯塔夫山,"-891.6, -285.0",,,Blow up the rock pile and pick up the rock underneath.,Korok150.jpg
151,磁铁·方块拼图,text,勇气之泉,"835.0, 2425.6",,,Use Magnesis to grab the iron cube from the block puzzle on the east hand of the statue and take it to the west hand.,Korok151.jpg
152,彩色花·按序踩,text,费罗龙台地,"516.0, 2492.0",,,"Visit each group of flowers in order, 1 through 5.",Korok152.jpg
153,射气球,text,砕石场遗迹,"-661.0, -437.6",,,Shoot the balloon.,Korok153.jpg
154,搬石头,text,砕石场遗迹,"-806.4, -401.6",,,Pick up the rock.,Korok154.jpg
155,搬石头,text,海拉鲁西城邑遗迹,"-548.0, -229.0",,,Pick up the rock.,Korok155.jpg
