类别,中文名,图鉴条目,摆放actor,点位数,英文名
蘑菇,速速蘑菇,IsNewPictureBook_Item_MushroomGet_D,Item_Mushroom_D,2094,Rushroom
水果,苹果,IsNewPictureBook_Item_Fruit_A,Item_Fruit_A,1158,Apple
植物,速速紫罗兰,IsNewPictureBook_Item_PlantGet_O,Item_Plant_O,1129,Swift Violet
矿物,矿床,IsNewPictureBook_Obj_Mineral_A_01,Obj_Mineral_A_01,942,Ore Deposit
蘑菇,海拉鲁蘑菇,IsNewPictureBook_Item_Mushroom_E,Item_Mushroom_E,498,Hylian Shroom
蘑菇,潜行蘑菇,IsNewPictureBook_Item_Mushroom_J,Item_Mushroom_J,471,Silent Shroom
矿物,夜光矿床,IsNewPictureBook_Obj_Mineral_C_01,Obj_Mineral_C_01,448,Luminous Stone Deposit
水果,草莓,IsNewPictureBook_Item_Fruit_B,Item_Fruit_B,399,Wildberry
水果,暖暖草果,IsNewPictureBook_Item_Fruit_I,Item_Fruit_I,380,Spicy Pepper
植物,海拉鲁草,IsNewPictureBook_Item_PlantGet_A,Item_Plant_A,323,Hyrule Herb
植物,冰冷香草,IsNewPictureBook_Item_PlantGet_E,Item_Plant_E,305,Cool Safflina
水果,椰子,IsNewPictureBook_Item_Fruit_G,Item_Fruit_G,299,Palm Fruit
蘑菇,冰冷蘑菇,IsNewPictureBook_Item_Mushroom_B,Item_Mushroom_B,287,Chillshroom
蘑菇,精力蘑菇,IsNewPictureBook_Item_Mushroom_A,Item_Mushroom_A,276,Stamella Shroom
蘑菇,铠甲蘑菇,IsNewPictureBook_Item_Mushroom_M,Item_Mushroom_M,260,Ironshroom
矿物,稀有矿床,IsNewPictureBook_Obj_Mineral_B_01,Obj_Mineral_B_01,258,Rare Ore Deposit
蘑菇,生命松露,IsNewPictureBook_Item_Mushroom_F,Item_Mushroom_F,244,Hearty Truffle
蘑菇,大剑蘑菇,IsNewPictureBook_Item_Mushroom_L,Item_Mushroom_L,224,Razorshroom
昆虫,静静萤火虫,IsNewPictureBook_Animal_Insect_E,Animal_Insect_E,205,Sunset Firefly
蘑菇,酥麻蘑菇,IsNewPictureBook_Item_Mushroom_H,Item_Mushroom_H,190,Zapshroom
鱼,海拉鲁鲈鱼,IsNewPictureBook_Item_FishGet_A,Animal_Fish_A,185,Hyrule Bass
水果,冰冷蜜瓜,IsNewPictureBook_Item_Fruit_F,Item_Fruit_F,183,Hydromelon
水果,酥麻水果,IsNewPictureBook_Item_Fruit_C,Item_Fruit_C,178,Voltfruit
植物,生命小萝卜,IsNewPictureBook_Item_PlantGet_B,Item_Plant_B,177,Hearty Radish
鱼,大剑鲷鱼,IsNewPictureBook_Item_FishGet_F,Animal_Fish_F,150,Mighty Porgy
植物,潜行草,IsNewPictureBook_Item_PlantGet_I,Item_Plant_I,131,Blue Nightshade
水果,速速莲蓬,IsNewPictureBook_Item_Fruit_E,Item_Fruit_E,131,Fleet-Lotus Seeds
鱼,铠甲鲷鱼,IsNewPictureBook_Item_FishGet_G,Animal_Fish_G,130,Armored Porgy
