新 r3(L4): 367
旧 r4 保留(非r3名): 119
r4 最终: 119
r4 去重后: 119
最终: r1=8 r2=24 r3=367 r4=119 总=518
--- r3 改名清单 ---
--- r4 删除(与r3重复) ---
- 斯特尔尼达盆地  (3894,3979)
- 千年沙洲  (14532,11545)
- 东迪普兰荒地  (15356,2660)
- 梅卡尔岛  (11551,5887)
- 花柔利亚河  (13739,16287)
- 西海拉鲁平原  (8107,9766)
- 路塔拉河  (18412,10706)
- 塞菲拉湖  (17501,7039)
- 科拉米桥  (5502,7127)
- 海布拉冻原  (5380,3845)
- 东阿卡莱海滩  (20547,5855)
- 萨乌斯岛  (14837,10090)
- 博内池塘  (16224,9673)
- 雷根西亚河  (8273,12799)
- 塔玛池  (6266,5983)
- 塔纳戈峡谷  (4121,9626)
- 罗达伊湖  (9392,12191)
- 撒马萨平原  (18898,11506)
- 塞拉利山  (9112,7312)
- 塞拉利山  (9493,6477)
- 罗万平原  (9782,5466)
- 路德夫沼泽  (8166,9204)
- 骷髅湖  (18972,2735)
- 西拉湖  (16260,12903)
- 格林登平原  (10236,16282)
- 海利亚河  (12973,12182)
- 雷恩高地  (4215,8556)
- 阿里斯海滩  (16423,17773)
- 鲁特利湖  (6129,11094)
- 海布拉源泉  (6221,5032)
- 北塔邦挞雪原  (8416,2621)
- 南塔邦挞雪原  (8076,5423)
- 萨夫鲁山  (8245,11422)
- 皮基达石林  (7604,4197)
- 双子山  (14539,14077)
- 基尔塞湖  (4145,4912)
- 阿卡莱湖  (19419,7426)
- 鲍默山  (12994,13068)
- 拉巴克岛  (15661,4080)
--- r4 新增(L8) ---
+ 德雅村遗迹  (12732,13765)  [L8:AdeyaLake]
+ 斯特尔尼达盆地  (3894,3979)  [L8:BironSnow]
+ 海拉鲁要塞废墟  (11471,11211)  [L8:BumiPlain]
+ 千年沙洲  (14532,11545)  [L8:DokamamaPlain]
+ 东迪普兰荒地  (15356,2660)  [L8:EastEunpoHighlands]
+ 梅卡尔岛  (11551,5887)  [L8:FeoreRiver]
+ 花柔利亚河  (13739,16287)  [L8:FloriaRiver]
+ 死亡山谷  (16842,7157)  [L8:FuruboLake]
+ 西海拉鲁平原  (8107,9766)  [L8:GakanakkyoPlain]
+ 路塔拉河  (18412,10706)  [L8:GasemaRiver]
+ 塞菲拉湖  (17501,7039)  [L8:GatinLake]
+ 五郎湾  (18547,16824)  [L8:GoanaValley]
+ 科拉米桥  (5502,7127)  [L8:HashibiroLake]
+ 海布拉冻原  (5380,3845)  [L8:HeburaTundera]
+ 斯特尔尼达秘密温泉  (3154,4554)  [L8:HeburaWestSummit]
+ 东阿卡莱海滩  (20547,5855)  [L8:HigakkareBeach]
+ 城堡镇监狱  (10833,8105)  [L8:Hyrule_Out]
+ 东城堡镇  (11980,9125)  [L8:HyruleEastTown]
+ 西城堡镇  (10972,9127)  [L8:HyruleWestTown]
+ 萨乌斯岛  (14837,10090)  [L8:IsakuIslands]
+ 博内池塘  (16224,9673)  [L8:JiuRiver]
+ 雷根西亚河  (8273,12799)  [L8:KaturaRiver]
+ 塔玛池  (6266,5983)  [L8:KauLake]
+ 竞走登记  (6910,7441)  [L8:KikinosaPlain]
+ 迷失的森林  (14031,6458)  [L8:KiyanbaTrees]
+ 塔纳戈峡谷  (4121,9626)  [L8:KukujaValley]
+ 罗达伊湖  (9392,12191)  [L8:KunaiLake]
+ 第八位英雄雕像  (2944,11487)  [L8:KurisobeSnow]
+ 撒马萨平原  (18898,11506)  [L8:LanayruBay]
+ 海利亚湖  (11138,14604)  [L8:MapArea_HyliaLake]
+ 塞拉利山  (9112,7312)  [L8:MarittaHill]
+ 塞拉利山  (9493,6477)  [L8:MarittaPrairie]
+ 罗万平原  (9782,5466)  [L8:NanaimoPlain]
+ 路德夫沼泽  (8166,9204)  [L8:NomyPlain]
+ 骷髅湖  (18972,2735)  [L8:OkuAkkarePlain]
+ 西拉湖  (16260,12903)  [L8:OkuwaLake]
+ 格林登平原  (10236,16282)  [L8:OoosePlain]
+ 皇家古代研究所遗迹  (9516,7871)  [L8:RashamaPlain]
+ 北洛美迷宫  (9505,3474)  [L8:RirimukuMt]
+ 莺巢  (4492,6510)  [L8:RiritotoLake]
+ 海利亚河  (12973,12182)  [L8:RonronRiver]
+ 雷恩高地  (4215,8556)  [L8:RutsuPlain]
+ 阿里斯海滩  (16423,17773)  [L8:SasamuroBeach]
+ 鲁特利湖  (6129,11094)  [L8:SusonoRiver]
+ 海布拉源泉  (6221,5032)  [L8:SwanLake]
+ 北塔邦挞雪原  (8416,2621)  [L8:TabantaSnow_North]
+ 南塔邦挞雪原  (8076,5423)  [L8:TabantaSnow_South]
+ 萨夫鲁山  (8245,11422)  [L8:TakkikaPlain]
+ 皮基达石林  (7604,4197)  [L8:TutukikiSnow]
+ 双子山  (14539,14077)  [L8:TwinsMountain]
+ 基尔塞湖  (4145,4912)  [L8:UkkoPond]
+ 阿卡莱湖  (19419,7426)  [L8:WabiLake]
+ 鲍默山  (12994,13068)  [L8:YamariRiver]
+ 拉巴克岛  (15661,4080)  [L8:ZaridoLake]
已写入 regions.js
