=== r3 译名核对表（以 Location.xml L4 为锚） ===
label | 英文显示名 | loc(x,z) | r3现有名(距) | ali213名(距) | r4名(距)
AagetoMt | Mount Agaat | -4931,862 | 阿格托山(0) | 阿加特山(8) | 阿加特山(8)
AdeyaLake | Deya Lake | 455,2036 | 阿德雅湖(0) | 德雅湖(4) | 德雅湖(3)
AgePlateau | Jia Highlands | 1507,2466 | 阿格台地(0) | 吉亚高地(10) | 吉亚高地(10)
AgunaiLake | Darunia Lake | 1405,-2842 | 阿古奈湖(0) | 达鲁尼亚湖(2) | 达鲁尼亚湖(1)
AkazaMt | Lanayru Range | 3994,1596 | 阿卡扎山(0) | 拉奈鲁桥(9) | 拉奈鲁桥(9)
AmimePlateau | Nette Plateau | 220,3632 | 阿米梅台地(0) | 奥赛拉平原(0) | 奥赛拉平原(0)
AmonenePlateau | Ralis Pond | 2933,-250 | 阿莫内内台地(0) | 拉里斯池塘(5) | 拉里斯池塘(5)
AnbonBeach | Martha's Landing | 1207,3729 | 安邦海滩(0) | 马萨登陆点(3) | 马萨登陆点(3)
AnchoBeach | Toronbo Beach | 4498,3553 | 安乔海滩(0) | 托隆波海滩(4) | 托隆波海滩(4)
AnoleLake | Gorko Lake | 2097,-2150 | 阿诺尔湖(0) | 格尔克湖(4) | 格尔克湖(4)
AnoleTunnel | Gorko Tunnel | 2008,-2013 | 阿诺尔隧道(0) | 格尔克隧道(3) | 格尔克隧道(4)
ArafuraPlain | Fural Plain | 447,3335 | 阿拉弗拉平原(0) | 富勒平原(1) | 富勒平原(1)
AraisoBeach | Aris Beach | 1936,3879 | 阿莱索海滩(0) | 阿里斯海滩(12) | 阿里斯海滩(12)
AzimetosPlateau | Mystathi's Shelf | -4045,406 | 阿吉梅托斯台地(0) | 壮观石（荒野之息）(3) | 壮观石（荒野之息）(3)
BachimakuMt | Solewood Range | 4403,2182 | 巴奇马库山(0) | 独木场(3) | 独木场(3)
BaconCliff | Gortram Cliff | 1819,-1891 | 培根断崖(0) | 戈特拉姆悬崖(4) | 戈特拉姆悬崖(4)
BameHill | Passer Hill | -3999,-1614 | 巴美山丘(0) | 过路人之山(5) | 过路人之山(5)
BanmezaLake | Harker Lake | 904,2873 | 班梅扎湖(0) | 哈克尔湖(1) | 哈克尔湖(1)
BantaValley | Breach of Demise | -1437,-554 | 终焉之谷(0) | 终焉裂缝(2) | 终焉裂缝(2)
BarakkiPlain | Dalite Forest | -2051,1139 | 巴拉基平原(0) | 达利特森林(2) | 达利特森林(1)
BarumePlain | Barula Plain | 193,3135 | 巴鲁梅平原(0) | 巴鲁拉平原(2) | 巴鲁拉平原(2)
BigalLake | Medingo Pool | 2213,-1774 | 比加尔湖(0) | 梅丁格池塘(9) | 梅丁格池塘(10)
BiginaTrees | Ginner Woods | 3202,2083 | 比吉纳树林(0) | 吉纳树林(3) | 吉纳树林(3)
BiridinHill | Birida Lookout | -3476,1868 | 比利丁山丘(0) | 毕力达瞭望台(1) | 毕力达瞭望台(1)
BironSnow | Biron Snowshelf | -3719,-2982 | 比隆雪原(0) | 拜伦雪地(4) | 拜伦雪地(4)
BituoValley | Tobio's Hollow | 1329,2564 | 比楚奥谷(0) | 托比欧山谷(6) | 托比欧山谷(6)
BlindForest | Thyphlo Ruins | 327,-3080 | 盲目森林(0) | 泰普洛废墟(4) | 泰普洛废墟(4)
BlizzarValley | Coldsnap Hollow | -3066,-2954 | 暴雪谷(0) | 寒潮山谷(2) | 寒潮山谷(2)
BokoboLake | Gero Pond | 2428,-1729 | 博科博湖(0) | 格罗池塘(7) | 格罗池塘(7)
BonrasForest | Bronas Forest | 1478,3254 | 邦拉斯森林(0) | 布洛纳斯森林(6) | 布洛纳斯森林(6)
BoraraCape | Tarm Point | 4480,897 | 博拉拉岬(0) | 塔姆岬(10) | 塔姆岬(10)
BottuBay | Spool Bight | 4403,-193 | 博图湾(0) | 挠曲海湾(30) | 挠曲海湾(29)
BrostarPlain | Samasa Plain | 3239,568 | 布罗斯塔平原(0) | 撒马萨平原(10) | 撒马萨平原(10)
BuhaIslands | Broca Island | 2701,-1748 | 布哈群岛(0) | 布罗卡岛(2) | 布罗卡岛(3)
BuibuiTrees | Bubinga Forest | 2085,2094 | 布伊布伊树林(0) | 西拉湖(7) | 西拉湖(8)
BuichadaPlateau | Tumlea Heights | 4167,-3153 | 布伊查达台地(0) | 图美拉高地(6) | 图美拉高地(6)
BuidaLake | Rassla Lake | 1855,3680 | 布伊达湖(0) | 拉斯拉湖(5) | 拉斯拉湖(6)
BumiPlain | Windvane Meadow | -664,750 | 布米平原(0) | 温德文草地(2) | 温德文草地(2)
BuramuPlateau | Popla Foothills | 813,2177 | 布拉姆台地(0) | 鼓隆族河(2) | 鼓隆族河(2)
ChagaraMt | Gogobi Shores | 3194,3560 | 查加拉山(0) | 戈戈比海岸(4) | 戈戈比海岸(4)
ChuonoPond | Zelkoa Pond | 3493,1965 | 丘奥诺池塘(0) | 泽尔科亚池塘(3) | 泽尔科亚池塘(3)
CresiaPeninsula | Cape Cresia | 3421,3807 | 克雷西亚半岛(0) | 科雷西亚海角(5) | 科雷西亚海角(5)
