lv,label,现名,官方名,px_x,px_y,官方px_x,官方px_y,坐标差px,匹配,动作,来源
r1,MapRegion_Hebura,海布拉地区,海布拉地区,5284,4591,5284,4591,0.4,名字,无需改,Location
r1,MapRegion_Eldin,奥尔汀地区,奥尔汀地区,16075,6369,16075,6369,0.3,名字,无需改,Location
r1,MapRegion_Tamul,阿卡莱地区,阿卡莱地区,19564,4141,19564,4141,0.5,名字,无需改,Location
r1,MapRegion_Lanayru,拉聂尔地区,拉聂尔地区,18350,11230,18350,11230,0.4,名字,无需改,Location
r1,MapRegion_Hateru,哈特尔地区,哈特尔地区,16498,13351,16498,13351,0.6,名字,无需改,Location
r1,MapRegion_HyrulePrairie,中央海拉鲁,中央海拉鲁,11504,9844,11504,9844,0.1,名字,无需改,Location
r1,MapRegion_Firone,费罗尼地区,费罗尼地区,13939,15651,13939,15651,0.5,名字,无需改,Location
r1,MapRegion_Gerudo,格鲁德地区,格鲁德地区,3813,16683,3813,16683,0.4,名字,无需改,Location
r2,MapArea_DeathMountain,死亡之山,死亡之山,17044,4462,17044,4462,0.4,名字,无需改,Location
r2,MapArea_EastHateru,东哈特尔,东哈特尔,17359,15015,17359,15015,0.6,名字,无需改,Location
r2,MapArea_EldinCanyon,奥尔汀峡谷,奥尔汀峡谷,15706,7199,15706,7199,0.6,名字,无需改,Location
r2,MapArea_EldinMountains,奥尔汀山脉,奥尔汀山脉,14620,3249,14620,3249,0.3,名字,无需改,Location
r2,MapArea_FironeGrassland,费罗尼草原,费罗尼草原,11153,16313,11153,16313,0.4,名字,无需改,Location
r2,MapArea_FironeSea,费罗尼海,费罗尼海,11898,17973,11898,17973,0.4,名字,无需改,Location
r2,MapArea_GerudoDesert,格鲁德沙漠,格鲁德沙漠,4669,17232,4669,17232,0.3,名字,无需改,Location
r2,MapArea_GerudoHighlands,格鲁德高地,格鲁德高地,3823,11686,3823,11686,0.5,名字,无需改,Location
r2,MapArea_HateruSea,哈特尔海,哈特尔海,20282,15690,20282,15690,0.4,名字,无需改,Location
r2,MapArea_HeburaMountains,海布拉山脉,海布拉山脉,5842,3951,5842,3951,0.4,名字,无需改,Location
r2,MapArea_HyliaLake,海利亚湖,海利亚湖,11702,15042,11702,15042,0.5,坐标,无需改,Location
r2,MapArea_HyruleForest,海拉鲁大森林,海拉鲁大森林,12728,4908,12728,4908,0.6,名字,无需改,Location
r2,MapArea_HyruleHill,海拉鲁丘陵,海拉鲁丘陵,7235,9186,7235,9186,0.3,名字,无需改,Location
r2,MapArea_LanayruSea,拉聂尔海,拉聂尔海,21349,9606,21349,9606,0.4,名字,无需改,Location
r2,MapArea_LanayruWaterSources,拉聂尔大水源,拉聂尔大水源,19396,10523,19396,10523,0.5,名字,无需改,Location
