label,官方中文名,game_x,game_z,px_x,px_y,来源,坐标条数
AagetoMt,阿盖特山,-4931.034,861.7604,2138,11724,Location,1
AdeyaLake,阿迪亚湖,455.0,2035.767,12910,14072,Location,3
AdeyaVillage,阿德亚村遗迹,353.0338,1953.302,12706,13907,LocationPointer,1
AgePlateau,亚哲台地,1506.608,2465.708,15013,14931,Location,1
AgunaiLake,达鲁尼亚湖,1405.333,-2841.862,14811,4316,Location,1
AkazaMt,拉聂尔群山,3993.518,1596.335,19987,13193,Location,1
AkkareBigBridge,阿卡莱大桥,3008.478,-1242.923,18017,7514,LocationPointer,1
AkkareGarrison,阿卡莱练兵场遗迹,3309.335,-1201.961,18619,7596,LocationPointer,1
AkkareZhai,阿卡莱堡垒遗迹,3335.9,-1452.6,18672,7095,LocationPointer,1
AkkareZhaiBridge,阿卡莱堡垒联络桥遗迹,3150.1,-1389.4,18300,7221,LocationPointer,1
AmimePlateau,阿米麦台地,219.7383,3631.89,12439,17264,Location,1
AmonenePlateau,拉尔斯池塘,2932.593,-250.0983,17865,9500,Location,1
AnbonBeach,玛萨海湾,1206.683,3728.922,14413,17458,Location,1
AnchoBeach,托隆波海滩,4498.385,3552.553,20997,17105,Location,1
AncientLabo,阿卡莱古代研究所,4515.631,-3164.532,21031,3671,LocationMarker,1
AnoleLake,马尔鼓池塘,2097.295,-2150.354,16195,5699,Location,1
AnoleTunnel,马尔鼓坑道,2007.961,-2013.301,16016,5973,Location,1
ArafuraPlain,阿拉弗拉平原,446.593,3335.282,12893,16671,Location,1
AraisoBeach,阿拉伊索海岸,1936.097,3878.847,15872,17758,Location,1
Assassin,依盖队基地,-3592.5,1380.5,4815,12761,LocationMarker,1
AzimetosPlateau,托斯迈吉亚台地,-4044.919,405.9199,3910,10812,Location,1
BachimakuMt,独杉群山,4403.436,2182.471,20807,14365,Location,1
BaconCliff,托洛鼓悬崖,1818.745,-1890.884,15637,6218,Location,1
BameHill,巴美山丘,-3998.905,-1614.109,4002,6772,Location,1
BanmezaLake,邦迈扎湖,904.4924,2873.268,13809,15747,Location,1
BantaValley,终焉之谷,-1437.213,-554.4125,9126,8891,Location,1
BarakkiPlain,达拉伊特森林,-2051.041,1138.946,7898,12278,Location,1
BarumePlain,巴尔麦平原,193.4487,3134.545,12387,16269,Location,1
BigBrotherBridge,双子哥哥桥,1671.92,2033.636,15344,14067,LocationPointer,1
BigTree,腐朽的千年古树,-1106.979,444.2717,9786,10889,LocationPointer,1
BigalLake,中鼓湖,2212.71,-1773.663,16425,6453,Location,1
BiginaTrees,基纳比森林,3202.202,2083.38,18404,14167,Location,1
BiridinHill,比利丁高地,-3475.817,1868.02,5048,13736,Location,1
BironSnow,比隆雪原,-3719.052,-2982.065,4562,4036,Location,3
BituoValley,比托谷,1329.271,2564.321,14659,15129,Location,1
BlindForest,德依布朗遗迹,327.0044,-3079.971,12654,3840,Location,1
BlizzarValley,暴风谷,-3065.76,-2954.228,5868,4092,Location,1
BokoboLake,盖洛湖,2427.523,-1728.584,16855,6543,Location,1
BonrasForest,本拉斯树海,1477.939,3254.438,14956,16509,Location,1
BoraraCape,塔姆海角,4480.136,897.2372,20960,11794,Location,1
BottuBay,斯普尔湾,4403.177,-192.5229,20806,9615,Location,1
BraveFountain,勇气之泉,876.9469,2371.375,13754,14743,LocationPointer,1
BrosRock,兄弟岩,-3986.73,-1751.558,4027,6497,LocationPointer,1
BrostarPlain,萨玛莎平原,3238.914,567.59,18478,11135,Location,1
BuhaIslands,贝弗岛,2701.199,-1748.291,17402,6503,Location,1
BuibuiTrees,布冰嘉森林,2085.391,2094.244,16171,14188,Location,1
BuichadaPlateau,秋叶台地,4166.958,-3153.444,20334,3693,Location,1
BuidaLake,布伊达湖,1854.702,3679.667,15709,17359,Location,1
BumiPlain,风标草原,-664.1662,750.4846,10672,11501,Location,2
BuramuPlateau,泡泡拉高地,812.7005,2177.131,13625,14354,Location,1
CastleTownMark,海拉鲁城邑遗迹,-255.0,-306.0078,11490,9388,LocationPointer,1
CelebrationPark,祭奠场遗迹,-254.0,-76.5,11492,9847,LocationPointer,1
CentralExchange,交易所遗迹,-744.0,868.0,10512,11736,LocationPointer,1
ChagaraMt,恰加拉海滨,3194.096,3559.933,18388,17120,Location,1
ChirakaVillage,科彭嘉村遗迹,1616.677,263.2201,15233,10526,LocationPointer,1
ChuonoPond,凯亚池塘,3493.344,1964.773,18987,13930,Location,1
Cohorint,塞哈特诺岛,4605.011,3646.791,21210,17294,LocationPointer,1
Cokiri,克洛格森林,427.9911,-2137.471,12856,5725,LocationMarker,3
Corosseo,竞技场遗迹,-1151.0,1262.5,9698,12525,LocationPointer,1
CresiaPeninsula,克莱西亚半岛,3420.639,3807.475,18841,17615,Location,1
DamzelForest,达姆泽尔树海,832.0786,2700.08,13664,15400,Location,1
DanioPlain,乌克克平原,3950.514,-977.1213,19901,8046,Location,1
DarinoPond,卡伊更池塘,3208.8,1698.877,18418,13398,Location,1
DasukidaMt,达斯齐达山,3173.402,3193.408,18347,16387,Location,1
DasukidaPlateau,达斯齐达高原,3002.681,3081.751,18005,16164,Location,1
DatsuPlain,特托拉平原,-348.243,3298.634,11304,16597,Location,1
DeathCaldera,死亡破火山口,2563.403,-2971.021,17127,4058,Location,1
DeathMountainHatago,山麓驿站,2613.332,-1143.513,17227,7713,LocationMarker,1
DeathMountain_Entrance,死亡之山登山口,2402.578,-1320.011,16805,7360,LocationPointer,1
DekamuPlain,马布尔德平原,2770.196,2282.414,17540,14565,Location,1
DodoraBridge,拉鲁特大桥,3075.683,3.835663,18151,10008,LocationPointer,1
DokamamaPlain,撒哈斯拉平原,1378.157,1050.083,14756,12100,Location,2
DokuroPond,骷髅池塘,3313.558,-3498.718,18627,3003,Location,1
DonLake,露露湖,3720.493,-598.1126,19441,8804,Location,1
DotiBeach,林芭海滩,3167.14,3721.088,18334,17442,Location,1
DragonMarsh,龙骨沼泽,-4174.5,-1714.867,3651,6570,LocationPointer,1
DragonsFar,龙之流放地,-4661.335,3626.376,2677,17253,Location,1
Dungeon000,塔·姆尔神庙,2301.462,-940.7258,16603,8119,LocationMarker,1
Dungeon001,吉诺·耀神庙,-1793.255,2422.486,8413,14845,LocationMarker,1
Dungeon002,萨·达究神庙,2666.12,-1580.328,17332,6839,LocationMarker,1
Dungeon003,哈瓦·卡伊神庙,-4847.434,3773.548,2305,17547,LocationMarker,1
Dungeon004,基瓦·扎塔斯神庙,-1432.615,-593.246,9135,8814,LocationMarker,1
Dungeon005,奈兹·耀玛神庙,3323.169,-517.9188,18646,8964,LocationMarker,1
Dungeon006,亚奥·玛耀神庙,2833.533,3311.958,17667,16624,LocationMarker,1
Dungeon007,瓦希·辽科神庙,87.01651,1657.706,12174,13315,LocationMarker,1
Dungeon008,沃力达·诺神庙,-3608.986,-1516.377,4782,6967,LocationMarker,1
Dungeon009,瓦·摩达伊神庙,-925.0303,2320.229,10150,14640,LocationMarker,1
Dungeon010,克·诺伊神庙,-2809.968,2300.177,6380,14600,LocationMarker,1
Dungeon011,蒙亚·托玛神庙,-1489.24,-1473.803,9022,7052,LocationMarker,1
Dungeon012,乌塔·多神庙,-4015.362,-1722.486,3969,6555,LocationMarker,1
Dungeon013,卡茨·托萨神庙,4294.901,-2729.875,20590,4540,LocationMarker,1
Dungeon014,卡姆·尤奥神庙,2501.7,1495.582,17003,12991,LocationMarker,1
Dungeon015,托托·伊萨神庙,1846.561,2473.726,15693,14947,LocationMarker,1
Dungeon016,鲁克·玛神庙,3333.5,402.5,18667,10805,LocationMarker,1
Dungeon017,希贝·尼罗神庙,1266.269,1938.7,14533,13877,LocationMarker,1
Dungeon018,拉·库阿神庙,-2377.017,-3224.61,7246,3551,LocationMarker,1
Dungeon019,达乌·纳艾神庙,2696.768,1333.017,17394,12666,LocationMarker,1
Dungeon020,希·达哥兹神庙,-1892.417,91.03052,8215,10182,LocationMarker,1
Dungeon021,托·雅萨神庙,-2269.1,-901.1,7462,8198,LocationMarker,1
Dungeon022,基耀·乌神庙,470.9549,-2167.817,12942,5664,LocationMarker,1
Dungeon023,协莫·拉塔神庙,1509.48,-377.219,15019,9246,LocationMarker,1
Dungeon024,米兹·耀神庙,2621.62,379.2342,17243,10758,LocationMarker,1
Dungeon025,克哈·拉玛神庙,2075.823,-2039.718,16152,5921,LocationMarker,1
Dungeon026,希摩·依托塞神庙,1756.571,-2561.701,15513,4877,LocationMarker,1
Dungeon027,鲁耀·塔乌神庙,-1562.293,1309.783,8875,12620,LocationMarker,1
