label,simplified_chinese
AagetoMt,阿盖特山
AdeyaLake,阿迪亚湖
AdeyaVillage,阿德亚村遗迹
AgePlateau,亚哲台地
AgunaiLake,达鲁尼亚湖
AkazaMt,拉聂尔群山
AkkareBigBridge,阿卡莱大桥
AkkareBridge,阿卡莱大桥
AkkareGarrison,阿卡莱练兵场遗迹
AkkareZhai,阿卡莱堡垒遗迹
AkkareZhaiBridge,阿卡莱堡垒联络桥遗迹
AmimePlateau,阿米麦台地
AmonenePlateau,拉尔斯池塘
AnbonBeach,玛萨海湾
AnchoBeach,托隆波海滩
AncientLabo,阿卡莱古代研究所
AnoleLake,马尔鼓池塘
AnoleTunnel,马尔鼓坑道
ArafuraPlain,阿拉弗拉平原
AraisoBeach,阿拉伊索海岸
Assassin,依盖队基地
AzimetosPlateau,托斯迈吉亚台地
BachimakuMt,独杉群山
BaconCliff,托洛鼓悬崖
BameHill,巴美山丘
BanmezaLake,邦迈扎湖
BantaValley,终焉之谷
BarakkiPlain,达拉伊特森林
BarumePlain,巴尔麦平原
BigBrotherBridge,双子哥哥桥
BigTree,腐朽的千年古树
BigalLake,中鼓湖
BiginaTrees,基纳比森林
BiridinHill,比利丁高地
BironSnow,比隆雪原
BituoValley,比托谷
BlindForest,德依布朗遗迹
BlizzarValley,暴风谷
BokoboLake,盖洛湖
BonrasForest,本拉斯树海
BoraraCape,塔姆海角
BottuBay,斯普尔湾
BraveFountain,勇气之泉
BrosRock,兄弟岩
BrostarPlain,萨玛莎平原
BuhaIslands,贝弗岛
BuibuiTrees,布冰嘉森林
BuichadaPlateau,秋叶台地
BuidaLake,布伊达湖
BumiPlain,风标草原
BuramuPlateau,泡泡拉高地
CastleTownMark,海拉鲁城邑遗迹
CelebrationPark,祭奠场遗迹
CentralExchange,交易所遗迹
ChagaraMt,恰加拉海滨
ChirakaVillage,科彭嘉村遗迹
ChuonoPond,凯亚池塘
Cohorint,塞哈特诺岛
Cokiri,克洛格森林
Corosseo,竞技场遗迹
CresiaPeninsula,克莱西亚半岛
DamzelForest,达姆泽尔树海
DanioPlain,乌克克平原
DarinoPond,卡伊更池塘
DasukidaMt,达斯齐达山
DasukidaPlateau,达斯齐达高原
DatsuPlain,特托拉平原
DeathCaldera,死亡破火山口
DeathMountainHatago,山麓驿站
DeathMountain_Entrance,死亡之山登山口
DekamuPlain,马布尔德平原
DodoraBridge,拉鲁特大桥
DokamamaPlain,撒哈斯拉平原
DokuroPond,骷髅池塘
DonLake,露露湖
DotiBeach,林芭海滩
DragonMarsh,龙骨沼泽
DragonsFar,龙之流放地
Dungeon000,塔·姆尔神庙
Dungeon001,吉诺·耀神庙
Dungeon002,萨·达究神庙
Dungeon003,哈瓦·卡伊神庙
Dungeon004,基瓦·扎塔斯神庙
Dungeon005,奈兹·耀玛神庙
Dungeon006,亚奥·玛耀神庙
Dungeon007,瓦希·辽科神庙
Dungeon008,沃力达·诺神庙
Dungeon009,瓦·摩达伊神庙
Dungeon010,克·诺伊神庙
Dungeon011,蒙亚·托玛神庙
Dungeon012,乌塔·多神庙
Dungeon013,卡茨·托萨神庙
Dungeon014,卡姆·尤奥神庙
Dungeon015,托托·伊萨神庙
Dungeon016,鲁克·玛神庙
Dungeon017,希贝·尼罗神庙
Dungeon018,拉·库阿神庙
Dungeon019,达乌·纳艾神庙
Dungeon020,希·达哥兹神庙
Dungeon021,托·雅萨神庙
Dungeon022,基耀·乌神庙
Dungeon023,协莫·拉塔神庙
Dungeon024,米兹·耀神庙
Dungeon025,克哈·拉玛神庙
Dungeon026,希摩·依托塞神庙
Dungeon027,鲁耀·塔乌神庙
Dungeon028,晓拉·哈神庙
Dungeon029,席罗·席拉神庙
Dungeon030,究尼·希神庙
Dungeon031,摩阿·基希托神庙
Dungeon032,达科·塔瓦神庙
Dungeon033,达塔·库斯神庙
Dungeon034,玛·卡亚神庙
Dungeon035,阿科·瓦塔神庙
Dungeon036,希·基托神庙
Dungeon037,夏奥·耀神庙
Dungeon038,玛·奥努神庙
Dungeon039,米亚马·迦纳神庙
Dungeon040,亚卡·玛塔神庙
Dungeon041,加·巴希夫神庙
Dungeon042,利·摩纳神庙
Dungeon043,库伊·塔卡神庙
Dungeon044,希贝·尼亚斯神庙
Dungeon045,哈尤·达玛神庙
Dungeon046,夏达·阿达神庙
Dungeon047,利·达席神庙
Dungeon048,吉兹·卡夫伊神庙
Dungeon049,卡亚·米瓦神庙
Dungeon050,塞伊·乌托神庙
Dungeon051,卡玛·拉席神庙
Dungeon052,诺基·米席神庙
Dungeon053,夏·塔瓦神庙
Dungeon054,卡奥·玛卡神庙
Dungeon055,多恩巴·塔神庙
Dungeon056,米罗·茨席神庙
Dungeon057,瓦哥·卡塔神庙
Dungeon058,摩·拉塔尼阿神庙
Dungeon059,卡·奥裘神庙
Dungeon060,古科·齐塞神庙
Dungeon061,晓达·萨神庙
Dungeon062,夏·格玛神庙
Dungeon063,基玛·兹斯神庙
Dungeon064,达卡·卡神庙
Dungeon065,图米·恩科神庙
Dungeon066,卡·姆神庙
Dungeon067,丘·拉姆席神庙
Dungeon068,亚·纳迦神庙
Dungeon069,伊奥·索奥神庙
Dungeon070,萨奥·科席神庙
Dungeon071,普玛·尼特神庙
Dungeon072,达·卡索神庙
Dungeon073,卡塔·丘基神庙
Dungeon074,尼阿·奈阿神庙
Dungeon075,达席·希诺神庙
Dungeon076,萨萨·卡伊神庙
Dungeon077,科尼·希卡神庙
Dungeon078,米达·罗基神庙
Dungeon079,纳米卡·奥兹神庙
Dungeon080,希·塔塔恩科神庙
Dungeon081,姆奥·吉姆神庙
Dungeon082,洽斯·科塔神庙
Dungeon083,提纳·裘扎神庙
Dungeon084,茨茨阿·尼玛神庙
Dungeon085,基玛·科萨萨神庙
Dungeon086,迦奥玛·阿萨神庙
Dungeon087,妙斯·希诺神庙
Dungeon088,席亚·米乌神庙
Dungeon089,萨斯·科萨神庙
Dungeon090,斯玛·萨玛神庙
Dungeon091,古·阿齐托神庙
Dungeon092,玛·诺拉神庙
Dungeon093,拉丘·乌罗神庙
Dungeon094,托·卡尤神庙
Dungeon095,库恩·希达吉神庙
Dungeon096,丘卡·纳塔神庙
Dungeon097,库古·齐德神庙
Dungeon098,达·乔卡席神庙
Dungeon099,塔罗·尼席神庙
Dungeon100,基哈·乌神庙
Dungeon101,达·基基神庙
Dungeon102,兹纳·卡伊神庙
Dungeon103,迪拉·玛神庙
Dungeon104,拉诺·库席神庙
Dungeon105,图·卡罗神庙
Dungeon106,玛姆·拉诺神庙
Dungeon107,密·苏神庙
Dungeon108,基托·瓦瓦伊神庙
Dungeon109,利塔·兹摩神庙
Dungeon110,裘希·奥神庙
Dungeon111,塔瓦·吉努神庙
Dungeon112,拉纳·罗基神庙
Dungeon113,希·库乔夫神庙
Dungeon114,希·尤塔神庙
Dungeon115,罗纳·卡塔神庙
Dungeon116,卡扎·托基神庙
Dungeon117,吉塔·萨米神庙
Dungeon118,托·库摩神庙
Dungeon119,塔诺·阿神庙
EagleBridge,莫里桥
EastDam,东部的蓄水湖
EastEunpoHighlands,东埃文坡高地
EastGerudoPlateau,东格鲁德高地
