层级,label,中文名,game_x,game_z,px_x,px_y,类别,来源,备注
r5,HyruleCastle_Room_0,观察室,-254.0,-769.4,11492.0,8461.266,城堡房间,LocationPointer,
r5,HyruleCastle_Room_1,食堂,-116.1,-837.4,11767.825,8325.2816,城堡房间,LocationPointer,
r5,HyruleCastle_Room_10,东坑道,-111.5,-977.9,11777.0,8044.266,城堡房间,LocationPointer,
r5,HyruleCastle_Room_11,西坑道,-469.5,-851.4,11061.0,8297.266,城堡房间,LocationPointer,
r5,HyruleCastle_Room_2,训练所,-368.7,-846.6,11262.6,8306.866,城堡房间,LocationPointer,
r5,HyruleCastle_Room_3,图书馆,-157.9,-1067.4,11684.1564,7865.1,城堡房间,LocationPointer,
r5,HyruleCastle_Room_5,牢房,-443.9,-1062.3,11112.2,7875.466,城堡房间,LocationPointer,
r5,HyruleCastle_Room_6,塞尔达的房间,-320.5,-995.9,11359.0,8008.266,城堡房间,LocationPointer,
r5,HyruleCastle_Room_7,船坞,-255.0,-1188.6,11489.9688,7622.734,城堡房间,LocationPointer,
r5,HyruleCastle_Room_8,塞尔达的研究室,-384.0,-983.5,11232.0,8033.0628,城堡房间,LocationPointer,
r5,HyruleCastle_Room_9,国王的书房,-171.7,-1120.7,11656.511,7758.588,城堡房间,LocationPointer,
r4,AdeyaVillage,阿德亚村遗迹,353.0,1953.3,12706.0676,13906.604,遗迹/村落,LocationPointer,
r4,BigTree,腐朽的千年古树,-1107.0,444.3,9786.042,10888.5434,其他,LocationPointer,
r4,BrosRock,兄弟岩,-3986.7,-1751.6,4026.54,6496.884,其他,LocationPointer,
r4,DeathMountain_Entrance,死亡之山登山口,2402.6,-1320.0,16805.156,7359.978,入口/门,LocationPointer,
r4,EastPostTownRuin,东部的驿站村废墟,30.8,1565.4,12061.66382,13130.772,遗迹/村落,LocationPointer,
r4,Execution,监狱遗迹,-681.7,-841.0,10636.602,8317.9336,遗迹/村落,LocationPointer,
r4,FloriaBridge,花柔莉亚桥,1737.9,3467.9,15475.804,16935.872,桥梁,LocationPointer,
r4,FrontGatePosttown,门前驿站村遗迹,-545.0,1455.0,10910.0,12910.0,遗迹/村落,LocationPointer,
r4,GameBitalockGolf,库库甲谷球场,-2998.0,-1049.3,6004.058,7901.452,其他,LocationPointer,
r4,GameMarathon,马拉松报名处,-2642.3,-1168.9,6715.384,7662.164000000001,其他,LocationPointer,
r4,GatakaraGarrison,科摩罗驻军地遗迹,-465.0,1272.4,11069.9852,12544.726,遗迹/村落,LocationPointer,
r4,HatenoGate,哈特诺堡垒,2323.7,1837.1,16647.44,13674.137999999999,入口/门,LocationPointer,
r4,HyruleCastle,海拉鲁城堡,-254.0,-611.4,11492.0,8777.266,城堡,LocationMarker,
r4,HyruleGarrison,海拉鲁驻军地遗迹,-588.0,574.0,10824.0,11148.0,遗迹/村落,LocationPointer,
r4,HyruleLabo,王室古代研究所遗迹,-1265.0,-1030.0,9470.0,7940.0,遗迹/村落,LocationPointer,
r4,HyruleWater,蓄水池遗迹,-596.6,-516.7,10806.7476,8966.6538,遗迹/村落,LocationPointer,
r4,JogoBridge,莱波纳桥,822.5,33.9,13645.0178,10067.87878,桥梁,LocationPointer,
r4,KaturaCastle,贤者之神殿遗迹,-1355.0,233.0,9290.0,10466.0,遗迹/村落,LocationPointer,
r4,KochuBridge,卡卡利科桥,1785.4,1533.2,15570.828,13066.304,桥梁,LocationPointer,
